County,State,Date,Year,Month,Period Begin,Period End,Homes Sold,Homes Sold with Price Drop,Homes Sold with Price Drop (%),Median Sale Price,Median Sales Price per Sqft,Price Drops,Listings with Price Drop (%),New Listings,Median New List Price,Median New Listing Price per Sqft,Inventory,Active Listings,Age of Inventory,Median List Price,Median List Price per Sqft,Average Offer to List,Average Sale to List Ratio,Median Days on Market,Months of Supply,Price Drops of Inventory (%),Homes Sold Above List (%)
Mecklenburg County, NC,2018-01-01,2018,January,2018-01-22 00:00:00,2018-01-28,246,68,27.64%,235000.0,121.00,125,2.63%,404,249450.0,$129.19,4374,4749,73.0,"$305,000.00",$135.92,0.95,0.98,67.5,19.30,2.86%,22.76%
Mecklenburg County, NC,2018-01-01,2018,January,2018-01-29 00:00:00,2018-02-04,319,96,30.09%,227000.0,119.05,122,2.55%,417,264575.0,$132.69,4294,4776,67.0,"$305,880.50",$136.83,0.95,0.99,74.0,14.97,2.84%,23.82%
Mecklenburg County, NC,2018-02-01,2018,February,2018-02-05 00:00:00,2018-02-11,223,57,25.56%,243600.0,117.25,156,3.28%,465,260675.0,$132.23,4376,4754,63.0,"$309,900.00",$138.14,0.98,0.99,66.0,21.32,3.56%,29.15%
Mecklenburg County, NC,2018-02-01,2018,February,2018-02-12 00:00:00,2018-02-18,285,70,24.56%,240000.0,121.54,122,2.53%,462,274950.0,$135.77,4424,4827,58.0,"$314,000.00",$139.28,0.98,0.99,58.0,16.94,2.76%,29.12%
Mecklenburg County, NC,2018-02-01,2018,February,2018-02-19 00:00:00,2018-02-25,266,73,27.44%,249500.0,124.64,160,3.27%,479,265900.0,$137.08,4488,4899,50.0,"$319,000.00",$140.92,0.99,0.99,62.0,18.42,3.57%,30.08%
Mecklenburg County, NC,2018-02-01,2018,February,2018-02-26 00:00:00,2018-03-04,479,101,21.09%,251000.0,127.12,151,3.01%,546,282250.0,$135.91,4438,5017,47.0,"$319,000.00",$141.48,0.99,0.99,49.0,10.47,3.40%,27.56%
Mecklenburg County, NC,2018-03-01,2018,March,2018-03-05 00:00:00,2018-03-11,308,64,20.78%,249750.0,129.87,148,2.96%,573,275000.0,$133.23,4601,5006,44.0,"$325,000.00",$141.91,0.98,0.99,49.0,16.25,3.22%,35.06%
Mecklenburg County, NC,2018-03-01,2018,March,2018-03-12 00:00:00,2018-03-18,403,97,24.07%,250000.0,126.47,164,3.19%,557,279000.0,$134.34,4654,5140,40.0,"$324,900.00",$141.80,0.94,0.99,51.0,12.75,3.52%,28.54%
Mecklenburg County, NC,2018-03-01,2018,March,2018-03-19 00:00:00,2018-03-25,390,83,21.28%,245550.0,133.83,188,3.63%,540,285000.0,$136.90,4678,5177,39.0,"$325,000.00",$142.48,0.99,0.99,48.0,13.27,4.02%,30.77%
Mecklenburg County, NC,2018-03-01,2018,March,2018-03-26 00:00:00,2018-04-01,514,119,23.15%,265000.0,130.17,158,3.06%,494,279900.0,$130.39,4637,5161,39.0,"$329,790.00",$142.12,0.99,0.99,47.5,10.04,3.41%,28.60%
Mecklenburg County, NC,2018-04-01,2018,April,2018-04-02 00:00:00,2018-04-08,355,65,18.31%,242900.0,126.89,171,3.29%,579,289900.0,$139.10,4738,5199,38.0,"$329,900.00",$142.94,0.99,0.99,43.0,14.65,3.61%,29.58%
Mecklenburg County, NC,2018-04-01,2018,April,2018-04-09 00:00:00,2018-04-15,385,76,19.74%,259000.0,128.22,210,3.94%,599,300000.0,$138.05,4840,5331,38.0,"$330,000.00",$143.53,1.01,0.99,46.0,13.85,4.34%,28.57%
Mecklenburg County, NC,2018-04-01,2018,April,2018-04-16 00:00:00,2018-04-22,428,76,17.76%,250000.0,125.86,189,3.54%,514,289900.0,$137.52,4874,5340,39.0,"$330,000.00",$144.08,0.99,0.99,44.0,12.48,3.88%,29.21%
Mecklenburg County, NC,2018-04-01,2018,April,2018-04-23 00:00:00,2018-04-29,489,89,18.20%,250000.0,127.76,197,3.65%,530,279450.0,$139.07,4897,5397,41.0,"$330,000.00",$144.89,0.98,0.99,44.0,11.04,4.02%,32.52%
Mecklenburg County, NC,2018-05-01,2018,May,2018-05-07 00:00:00,2018-05-13,409,92,22.49%,255000.0,131.72,271,4.89%,585,274105.0,$133.20,5078,5545,39.0,"$329,925.00",$146.00,0.98,0.99,41.0,13.56,5.34%,33.99%
Mecklenburg County, NC,2018-05-01,2018,May,2018-05-14 00:00:00,2018-05-20,471,113,23.99%,266000.0,134.47,264,4.64%,614,279000.0,$139.70,5168,5689,39.0,"$329,850.00",$146.01,0.99,0.99,42.0,12.08,5.11%,31.63%
Mecklenburg County, NC,2018-05-01,2018,May,2018-05-28 00:00:00,2018-06-03,593,134,22.60%,250990.0,132.44,250,4.43%,472,269000.0,$136.27,5072,5648,39.0,"$329,900.00",$145.34,0.97,0.99,43.0,9.52,4.93%,29.68%
Mecklenburg County, NC,2018-06-01,2018,June,2018-06-04 00:00:00,2018-06-10,426,85,19.95%,262000.0,127.19,255,4.55%,543,274900.0,$132.15,5147,5605,40.0,"$330,000.00",$144.82,1.01,0.99,42.0,13.16,4.95%,31.69%
Mecklenburg County, NC,2018-06-01,2018,June,2018-06-11 00:00:00,2018-06-17,471,102,21.66%,278000.0,133.97,260,4.57%,553,275000.0,$136.74,5227,5693,41.0,"$331,115.00",$144.52,0.98,0.99,41.0,12.09,4.97%,28.66%
Mecklenburg County, NC,2018-06-01,2018,June,2018-06-18 00:00:00,2018-06-24,448,94,20.98%,271000.0,133.08,271,4.70%,544,262450.0,$131.94,5219,5762,44.0,"$329,900.00",$144.43,0.99,0.99,44.0,12.86,5.19%,34.60%
Mecklenburg County, NC,2018-06-01,2018,June,2018-06-25 00:00:00,2018-07-01,678,141,20.80%,266000.0,133.88,240,4.20%,505,254900.0,$133.04,5116,5715,44.0,"$327,492.50",$144.55,0.98,0.99,43.0,8.43,4.69%,32.60%
