month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202103,28211,"charlotte, nc",,1149750,0.0873,0.2103,76,-0.1364,-0.392,34,-0.624309392,-0.333333333,52,0.4444,-0.0714,4,0,,24,0.5,0,65,0.0484,-0.2442,329.8453139,0.0502,0.1587,3456,0.0229,0.0522,1396574.658,0.1037,0.2187,141,-0.06,-0.3318,0.855263158,0.1507,0.1673
202103,28214,"charlotte, nc",*,317500,0.0079,,19,-0.3214,,31.5,-0.030769231,,28,-0.125,-0.5625,0,-1,-1,0,-1,-1,49,0.1667,-0.3797,161.5384615,0.0789,0.1426,1648,-0.2468,-0.1752,360354,0.0459,0.0883,68,-0.0286,-0.5556,2.578947368,1.0789,1.5114
202103,28269,"charlotte, nc",*,295750,0.0234,0.0469,22,-0.3889,-0.7843,14.5,-0.340909091,,44,0.1,-0.5217,0,-1,-1,4,0,-0.8571,55,0,-0.5378,160.0053529,0.0059,0.2458,1838,0.0268,-0.153,303782.8517,0.056,0.0717,77,-0.1538,-0.6516,2.5,0.9722,1.3333
202103,28270,"charlotte, nc",*,720000,0.0787,,19,0,,20.5,-0.506024096,,28,0.4,-0.5625,0,,-1,0,,-1,40,-0.1489,-0.3939,216.5900225,0.068,0.2861,3071.5,-0.0124,0.0218,686952.8571,-0.0473,0.0241,59,-0.1061,-0.563,2.105263158,-0.3684,1.1487
202103,28210,"charlotte, nc",*,439950,-0.0113,-0.0223,47,0.093,-0.5877,20,-0.069767442,,72,0.3846,0,0,-1,,12,0.5,-0.7,89,-0.0532,-0.11,236.18965,0.0507,0.0983,2033.5,-0.001,-0.0805,696850.2648,0.0712,-0.0225,136,-0.0073,-0.3645,1.893617021,-0.2924,1.0164
202103,28208,"charlotte, nc",,398250,0.1381,0.6123,50,-0.2754,-0.0385,35,-0.102564103,0.166666667,40,-0.0909,-0.2308,8,1,1,12,0,0,109,0.09,0.3625,244.173635,0.019,0.3306,1519,0.0652,0.1569,387573.0388,0.0804,0.3823,159,-0.0592,0.2045,2.18,0.7307,0.6415
202103,28278,"charlotte, nc",*,603975,0.133,,45,0.0976,,47,0.02173913,-0.040816327,48,0.3333,-0.3684,16,3,3,4,,-0.9231,72,0.5652,-0.1724,194.2740286,0.1881,0.3408,3559.5,0.1409,0.2308,917209.4372,0.0568,0.5891,117,0.3448,-0.4608,1.6,0.478,0.9308
202103,28204,"charlotte, nc",,547910,0.2199,-0.112,34,0.36,0.5455,23,-0.417721519,-0.634920635,28,1.3333,0.75,8,,,8,1,0,32,-0.0857,0.3913,284.6492714,-0.0298,-0.0491,1854,0.1638,-0.0903,548301.9608,0.1779,-0.1016,66,0.1,0.4667,0.941176471,-0.4588,-0.1043
202103,28217,"charlotte, nc",*,370670,0.013,,14,0,,19.5,0.625,,8,-0.6,-0.5,12,0.5,,0,,-1,9,-0.1818,0,186.823542,0.0499,0.2412,2003,0.0088,0.5527,371835.4643,0.0944,-0.0166,23,-0.08,0.2778,0.642857143,-0.1429,-0.3571
202103,28213,"charlotte, nc",,267670,0.517,0.3479,13,-0.1333,-0.5806,11.5,-0.258064516,-0.557692308,24,0.5,-0.1429,0,,,0,,-1,30,0.0345,-0.1176,146.9039493,0.121,0.24,1832.5,0.3529,0.1679,256457.9968,0.3749,0.1454,43,-0.0227,-0.3385,2.307692308,0.3744,1.2109
