region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,percent_homes_sold_above_list,percent_homes_sold_above_list_yoy,last_updated
2066,5,"Mecklenburg County, NC",county,9/2/2019,9/29/2019,4 weeks,1682,0.036991369,420,0.037037037,545,0.14978903,136,0.152542373,0.325096339,0.030737589,273687.5,0.101468961,139.282081,0.082696263,0,0,295,0.143410853,0.051359609,0.004525356,1781,0.082017011,445,0.082725061,279187.5,0.032545883,146.703313,0.081191327,5310,0.043222004,23031,0.043165142,5757,0.043123754,52.2,-0.8,324925,0.007949751,152.9085834,0.056611966,414650,0.121736778,404750,0.098769344,0.984077817,-0.006389607,0.984112276,-0.001963649,50.5,2.7,14.09235289,-0.18221157,510,0.208530806,0.222787194,0.019447312,0.229187498,-0.025699774,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,3/12/2018,4/8/2018,4 weeks,1662,-0.038194444,415,-0.039351852,364,0.064327485,91,0.070588235,0.217032851,0.023493213,250862.5,0.045532691,129.3371019,0.071214058,0,0,170,0.103896104,0.032931561,0.008713991,2170,-0.078947368,542,-0.079796265,283450,0.077859112,135.1821371,0.075992734,4676,-0.210668467,20677,-0.18983622,5169,-0.189811912,39,-1.7,327397.5,0.114250708,142.3340051,0.119041736,481898.75,0.445190433,468062.5,0.414192915,0.980339817,-0.002825025,0.990188812,0.001686262,47.3,-5.9,12.67865696,-2.893337402,592,0.033158813,0.145637297,0.041315892,0.293704744,0.004518569,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,2/5/2018,3/4/2018,4 weeks,1253,-0.027928627,313,-0.027950311,301,-0.022727273,75,-0.025974026,0.246627864,0.007955823,246025,0.139730152,122.6397529,0.053540331,0,0,147,0.027972028,0.030211591,0.005258135,1952,-0.05517909,488,-0.054263566,270943.7,0.079338718,135.2467153,0.105521018,4431,-0.174706649,19497,-0.148193455,4874,-0.14819993,54.5,6.3,315475,0.092643794,139.9582499,0.113300155,436500,0.143156447,423125,0.143194867,0.984138866,0.004475703,0.988670909,0.006126848,58.7,-10.3,16.78660624,-1.63914705,540,0.03646833,0.132927104,0.026389574,0.289758471,0.029025914,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,6/1/2020,6/28/2020,4 weeks,1810,-0.132726402,452,-0.13243762,396,-0.277372263,99,-0.277372263,0.218498033,-0.040350827,299475,0.061128589,149.473525,0.049702379,0,0,156,-0.450704225,0.030043425,-0.016987237,2018,-0.059207459,504,-0.059701493,310977.5,0.089794336,154.8862014,0.081551844,4660,-0.153957879,20752,-0.141628061,5188,-0.141628061,45.2,1.2,354988.1,0.069769061,162.4553871,0.072077849,361337.5,-0.086223973,360125,-0.069043515,0.993869399,0.008877004,0.987638232,0.000738565,46.2,0.2,11.61619117,-0.365390653,651,0.090452261,0.133905579,-0.072521436,0.271391953,0.021192581,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,4/8/2019,5/5/2019,4 weeks,1752,-0.023411371,438,-0.022321429,459,0.38253012,114,0.373493976,0.26222405,0.076740017,273678.2,0.066563626,140.4703662,0.100744024,0,0,242,0.152380952,0.04241645,0.00346325,2193,-0.018791946,548,-0.017921147,293612.2,0.013024204,144.6432616,0.049614343,5220,0.066176471,22795,0.0578708,5698,0.057731576,43.5,4,339700,0.029397995,155.3536348,0.074959737,389125,-0.225056425,377375,-0.242700424,0.978055296,-0.013042558,0.985305744,-0.006042063,46.5,2,13.43339174,1.308789252,641,0.019077901,0.185632184,0.014063556,0.254880211,-0.049610885,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,4/19/2021,5/16/2021,4 weeks,1857,0.404689864,464,0.406060606,202,-0.204724409,50,-0.206349206,0.111348493,-0.083449775,344981.2,0.143428936,179.7410802,0.196797529,5.6,5.6,78,-0.524390244,0.02819146,-0.005738458,1172,-0.373931624,293,-0.373931624,382290,0.191537772,193.2627135,0.238203756,2495,-0.440833707,11143,-0.42603276,2785,-0.426128168,36.2,-14.5,404189.3,0.172497788,212.0356783,0.321176017,422362.375,0.156800644,438437.5,0.234600493,1.044253126,0.072780479,1.018401341,0.030041977,30.2,-17.1,6.259546603,-8.866975414,545,0.001838235,0.125851703,-0.021839915,0.547217951,0.277335674,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,12/23/2019,1/19/2020,4 weeks,1072,0.185840708,268,0.185840708,374,0.165109034,93,0.1625,0.348278248,-0.006833978,266750,0.110301769,137.3145403,0.072974219,0,0,115,-0.201388889,0.026889788,-0.005470446,1194,0.077617329,298,0.075812274,271776.8,0.057649545,144.8454869,0.062930611,3942,-0.049433325,17072,-0.038034597,4268,-0.037871957,70.2,-5.8,334478.5,0.054721324,158.5784393,0.074942348,340999.75,-0.014700762,334050,-0.021421509,0.979366387,-0.008713389,0.979535475,0.000154612,60.7,-1.3,16.5467552,-3.121515401,378,0.121661721,0.116945713,-0.021949874,0.22838606,0.050463691,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,5/18/2020,6/14/2020,4 weeks,1545,-0.189826953,386,-0.18907563,308,-0.355648536,77,-0.352941176,0.197329398,-0.053272932,292875,0.036038028,148.3296677,0.049882511,0,0,171,-0.414383562,0.033138609,-0.015481906,1962,-0.093764434,490,-0.094269871,320865,0.140863474,154.4895227,0.096864064,4716,-0.144256941,20705,-0.140336309,5176,-0.140342136,48.3,5.1,352874.3,0.055368565,161.8073886,0.067216679,413075,0.191619789,411225,0.189657669,0.990708944,-0.00115308,0.987075476,5.19E-05,47.2,2.7,13.55955284,0.900256395,636,0.065326633,0.145462256,-0.067021867,0.26874296,0.006640004,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,7/1/2019,7/28/2019,4 weeks,1646,-0.016726404,411,-0.016746411,491,0.221393035,122,0.22,0.29660615,0.055817938,282144.1,0.127448951,139.4822832,0.063929369,0,0,276,0.022222222,0.046361168,-0.001631856,1913,-0.0209826,478,-0.020491803,279075,0.063345399,138.3231522,0.042820798,5490,0.063747336,23774,0.056669185,5943,0.056721195,48.7,3.1,327436,0.004481939,151.1008283,0.046694743,391000,0.062680482,385250,0.078074717,0.987460693,0.007991109,0.984236606,-0.00290636,47.2,1.2,14.74352879,0.95140824,573,0.047531993,0.201275046,-0.008374247,0.23534707,-0.038517027,5/19/2021 14:41
2066,5,"Mecklenburg County, NC",county,12/11/2017,1/7/2018,4 weeks,1376,0,344,0,398,-0.070093458,99,-0.074766355,0.286627287,-0.026955435,250464.3,0.137052775,122.455058,0.108943756,0,0,72,-0.088607595,0.015083359,-0.000179473,913,0.154235145,228,0.157360406,244812.5,0.12408988,125.1709331,0.079606377,4402,-0.077342276,19173,-0.07206466,4793,-0.072023233,72,-3,311173.1,0.088141485,135.8102977,0.099029521,294697.5,0.377305659,294747.5,0.383466322,0.976551009,-0.022093311,0.982898741,0.002643945,63.7,-11.9,14.91994646,-1.179028323,277,-0.003597122,0.065424807,-0.000808687,0.236389396,0.033677908,5/19/2021 14:41
